left,price,room,salon,area,age,province,district
Daire,3400000.0,2.0,1.0,95.0,5.0,İzmir , Karşıyaka 
Daire,5750000.0,3.0,1.0,130.0,40.0,İzmir , Karşıyaka 
Daire,10000000.0,4.0,1.0,165.0,2.0,İzmir , Karşıyaka 
Daire,1750000.0,2.0,1.0,95.0,35.0,İzmir , Konak 
Daire,15000000.0,3.0,1.0,189.0,5.0,İzmir , Güzelbahçe 
Daire,4250000.0,2.0,1.0,125.0,17.0,İzmir , Gaziemir 
Daire,3650000.0,3.0,1.0,140.0,25.0,İzmir , Bornova 
Müstakil,3000000.0,4.0,2.0,175.0,15.0,İzmir , Menderes 
Daire,5100000.0,3.0,1.0,130.0,5.0,İzmir , Çiğli 
Daire,1900000.0,1.0,1.0,51.0,11.0,İzmir , Buca 
Villa,7400000.0,3.0,1.0,140.0,21.0,İzmir , Seferihisar 
Daire,4250000.0,3.0,1.0,125.0,4.0,İzmir , Bergama 
Daire,3800000.0,3.0,1.0,130.0,3.0,İzmir , Çiğli 
Daire,2975000.0,3.0,1.0,90.0,40.0,İzmir , Karabağlar 
Müstakil,7900000.0,3.0,1.0,150.0,25.0,İzmir , Karaburun 
Villa,6000000.0,5.0,1.0,300.0,10.0,İzmir , Menderes 
Daire,2925000.0,2.0,1.0,100.0,4.0,İzmir , Menemen 
Daire,11500000.0,2.0,1.0,120.0,5.0,İzmir , Foça 
Yazlık,12750000.0,3.0,1.0,195.0,10.0,İzmir , Menderes 
Daire,5900000.0,3.0,1.0,110.0,13.0,İzmir , Karabağlar 
Daire,3950000.0,3.0,1.0,145.0,40.0,İzmir , Karabağlar 
Villa,27000000.0,3.0,1.0,300.0,4.0,İzmir , Çeşme 
Daire,4000000.0,3.0,1.0,100.0,10.0,İzmir , Buca 
Daire,3950000.0,3.0,1.0,145.0,31.0,İzmir , Karabağlar 
Daire,4750000.0,2.0,1.0,92.0,10.0,İzmir , Karşıyaka 
Daire,4700000.0,3.0,1.0,197.0,8.0,İzmir , Karşıyaka 
Daire,2700000.0,1.0,1.0,60.0,5.0,İzmir , Çiğli 
Daire,3250000.0,3.0,1.0,100.0,10.0,İzmir , Bayraklı 
Daire,3950000.0,3.0,1.0,145.0,35.0,İzmir , Karabağlar 
Daire,5700000.0,3.0,1.0,120.0,8.0,İzmir , Karşıyaka 
Daire,2250000.0,2.0,1.0,95.0,15.0,İzmir , Karşıyaka 
Daire,3900000.0,2.0,1.0,105.0,29.0,İzmir , Karşıyaka 
Daire,4250000.0,3.0,1.0,130.0,30.0,İzmir , Konak 
Daire,3400000.0,3.0,1.0,125.0,28.0,İzmir , Torbalı 
Daire,7900000.0,3.0,1.0,140.0,25.0,İzmir , Karabağlar 
Daire,2850000.0,3.0,1.0,130.0,2.0,İzmir , Ödemiş 
Daire,3100000.0,3.0,1.0,144.0,16.0,İzmir , Buca 
Daire,5750000.0,3.0,1.0,165.0,4.0,İzmir , Karşıyaka 
Daire,3650000.0,3.0,1.0,121.0,23.0,İzmir , Karşıyaka 
Daire,4750000.0,4.0,1.0,200.0,30.0,İzmir , Menderes 
Daire,3650000.0,3.0,1.0,210.0,16.0,İzmir , Buca 
Daire,3200000.0,2.0,1.0,95.0,12.0,İzmir , Karşıyaka 
Yazlık,4925000.0,3.0,1.0,250.0,26.0,İzmir , Dikili 
Yazlık,4400000.0,2.0,1.0,200.0,21.0,İzmir , Foça 
Daire,3150000.0,2.0,1.0,120.0,5.0,İzmir , Seferihisar 
Villa,15000000.0,3.0,1.0,350.0,30.0,İzmir , Çeşme 
Daire,4975000.0,3.0,1.0,136.0,17.0,İzmir , Karşıyaka 
Daire,5490000.0,3.0,1.0,155.0,9.0,İzmir , Menemen 
Müstakil,2550000.0,3.0,1.0,100.0,5.0,İzmir , Ödemiş 
Daire,3250000.0,3.0,1.0,150.0,16.0,İzmir , Kemalpaşa 
Daire,2550000.0,2.0,1.0,90.0,31.0,İzmir , Karabağlar 
Daire,10400000.0,3.0,1.0,189.0,13.0,İzmir , Narlıdere 
Müstakil,8000000.0,4.0,1.0,504.0,20.0,İzmir , Foça 
Daire,3175000.0,3.0,1.0,135.0,32.0,İzmir , Karabağlar 
Daire,2900000.0,2.0,1.0,95.0,4.0,İzmir , Buca 
Daire,4950000.0,3.0,1.0,98.0,5.0,İzmir , Konak 
Yazlık,9500000.0,3.0,1.0,155.0,8.0,İzmir , Seferihisar 
Daire,15850000.0,3.0,1.0,200.0,4.0,İzmir , Bornova 
Daire,2600000.0,3.0,1.0,110.0,24.0,İzmir , Gaziemir 
Müstakil,16000000.0,3.0,1.0,110.0,5.0,İzmir , Urla 
Çiftlik,4500000.0,2.0,1.0,500.0,2.0,İzmir , Menderes 
Villa,9450000.0,4.0,2.0,220.0,20.0,İzmir , Menemen 
Daire,5900000.0,3.0,1.0,120.0,3.0,İzmir , Gaziemir 
Daire,5490000.0,2.0,1.0,83.0,22.0,İzmir , Çeşme 
Daire,3000000.0,2.0,1.0,110.0,31.0,İzmir , Konak 
Daire,3950000.0,3.0,1.0,130.0,31.0,İzmir , Konak 
Villa,9670000.0,4.0,1.0,168.0,29.0,İzmir , Çiğli 
Müstakil,9000000.0,1.0,1.0,160.0,25.0,İzmir , Dikili 
Villa,35200000.0,4.0,2.0,250.0,1.0,İzmir , Çeşme 
Villa,78000000.0,3.0,1.0,250.0,16.0,İzmir , Çeşme 
Daire,3450000.0,2.0,1.0,105.0,26.0,İzmir , Narlıdere 
Daire,4750000.0,3.0,1.0,165.0,27.0,İzmir , Bayraklı 
Çiftlik,43000000.0,5.0,1.0,300.0,17.0,İzmir , Menderes 
Villa,49000000.0,3.0,1.0,160.0,5.0,İzmir , Çeşme 
Daire,2495000.0,2.0,1.0,90.0,4.0,İzmir , Menemen 
Daire,5150000.0,3.0,1.0,154.0,2.0,İzmir , Çiğli 
Köy,3250000.0,2.0,1.0,120.0,5.0,İzmir , Kınık 
Villa,7250000.0,3.0,1.0,226.0,20.0,İzmir , Seferihisar 
Yazlık,11000000.0,5.0,1.0,200.0,30.0,İzmir , Menderes 
Daire,15000000.0,4.0,1.0,210.0,21.0,İzmir , Narlıdere 
Daire,17500000.0,3.0,1.0,165.0,13.0,İzmir , Karabağlar 
Müstakil,4150000.0,3.0,1.0,187.0,20.0,İzmir , Menderes 
Daire,1950000.0,2.0,1.0,65.0,45.0,İzmir , Konak 
Villa,4050000.0,3.0,1.0,130.0,25.0,İzmir , Seferihisar 
Daire,3750000.0,3.0,1.0,160.0,5.0,İzmir , Çiğli 
Daire,8800000.0,3.0,1.0,140.0,4.0,İzmir , Narlıdere 
Villa,6200000.0,4.0,1.0,170.0,5.0,İzmir , Dikili 
Daire,3150000.0,2.0,1.0,100.0,5.0,İzmir , Dikili 
Daire,4100000.0,2.0,1.0,120.0,30.0,İzmir , Karşıyaka 
Daire,1700000.0,2.0,1.0,105.0,5.0,İzmir , Buca 
Daire,2580000.0,2.0,1.0,100.0,11.0,İzmir , Menemen 
Villa,12500000.0,3.0,1.0,150.0,40.0,İzmir , Seferihisar 
Daire,6000000.0,3.0,1.0,115.0,10.0,İzmir , Karşıyaka 
Daire,3650000.0,3.0,1.0,130.0,30.0,İzmir , Konak 
Daire,3500000.0,2.0,1.0,75.0,5.0,İzmir , Gaziemir 
Müstakil,2900000.0,2.0,1.0,90.0,1.0,İzmir , Torbalı 
Daire,3000000.0,2.0,1.0,80.0,4.0,İzmir , Menemen 
Bina,2350000.0,2.0,1.0,95.0,25.0,İzmir , Konak 
Daire,3500000.0,2.0,1.0,130.0,4.0,İzmir , Seferihisar 
Daire,3550000.0,2.0,1.0,95.0,15.0,İzmir , Buca 
Daire,5200000.0,3.0,1.0,165.0,1.0,İzmir , Dikili 
Daire,3400000.0,2.0,1.0,95.0,35.0,İzmir , Balçova 
Daire,4500000.0,3.0,1.0,130.0,40.0,İzmir , Konak 
Villa,12000000.0,3.0,1.0,160.0,6.0,İzmir , Urla 
Daire,3500000.0,1.0,1.0,60.0,4.0,İzmir , Bornova 
Daire,4750000.0,2.0,1.0,95.0,40.0,İzmir , Karşıyaka 
Daire,3200000.0,2.0,1.0,110.0,3.0,İzmir , Foça 
Daire,6128818.0,3.0,1.0,125.0,30.0,İzmir , Narlıdere 
Daire,2675000.0,3.0,1.0,125.0,22.0,İzmir , Karabağlar 
Villa,14000000.0,3.0,1.0,210.0,15.0,İzmir , Çeşme 
Daire,2500000.0,2.0,1.0,96.0,4.0,İzmir , Seferihisar 
Daire,3350000.0,3.0,1.0,135.0,20.0,İzmir , Menderes 
Daire,1900000.0,1.0,1.0,62.0,7.0,İzmir , Buca 
Daire,4250000.0,3.0,1.0,150.0,15.0,İzmir , Çiğli 
